"PayCode","TotalHoursWorked","LateCount","TotalAbsentHours","TotalUndertime","TotalOvertime","RegularAtt","OvertimeAtt","NightShiftAtt","NightShiftOtAtt","EmpCodeId"
"May-1-31-2025","59.08","0","0.0","84","0.00","{}","{}","{}","{}","EMB10357"
"May-1-31-2025","32.00","0","0.0","384","0.00","{}","{}","{}","{}","EMB10360"
"May-1-31-2025","16.00","0","0.0","1","0.00","{}","{}","{}","{}","EMB10363"
"May-1-31-2025","64.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10364"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10365"
"May-1-31-2025","79.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10368"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10369"
"May-1-31-2025","80.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10370"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10376"
"May-1-31-2025","104.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10380"
"May-1-31-2025","92.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10381"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10382"
"May-1-31-2025","77.60","0","0.0","120","0.00","{}","{}","{}","{}","EMB10383"
"May-1-31-2025","64.00","0","0.0","193","0.00","{}","{}","{}","{}","EMB10385"
"May-1-31-2025","95.65","2","0.0","0","0.00","{}","{}","{}","{}","EMB10392"
"May-1-31-2025","95.75","0","0.0","0","0.00","{}","{}","{}","{}","EMB10394"
"May-1-31-2025","47.97","0","0.0","0","0.00","{}","{}","{}","{}","EMB10395"
"May-1-31-2025","8.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10397"
"May-1-31-2025","100.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10401"
"May-1-31-2025","92.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10402"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10403"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10404"
"May-1-31-2025","96.00","0","0.0","0","4.35","{}","{""Rest Day"":""004:20:48""}","{}","{}","EMB10405"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10407"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10408"
"May-1-31-2025","80.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10411"
"May-1-31-2025","92.00","0","0.5","0","0.00","{}","{}","{}","{}","EMB10413"
"May-1-31-2025","31.82","0","0.0","0","0.00","{}","{}","{}","{}","EMB10417"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10418"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10419"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10420"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10422"
"May-1-31-2025","16.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10423"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10424"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10426"
"May-1-31-2025","108.00","1","0.0","0","17.02","{}","{""Special Day FRD"":""004:13:57"",""Rest Day"":""012:47:02""}","{}","{}","EMB10427"
"May-1-31-2025","68.95","0","0.0","132","0.00","{}","{}","{}","{}","EMB10428"
